,Date,Cases
0,2020-01-22,555
1,2020-01-23,654
2,2020-01-24,941
3,2020-01-25,1434
4,2020-01-26,2118
5,2020-01-27,2927
6,2020-01-28,5578
7,2020-01-29,6166
8,2020-01-30,8234
9,2020-01-31,9927
10,2020-02-01,12038
11,2020-02-02,16787
12,2020-02-03,19887
13,2020-02-04,23898
14,2020-02-05,27642
15,2020-02-06,30801
16,2020-02-07,34397
17,2020-02-08,37130
18,2020-02-09,40161
19,2020-02-10,42768
20,2020-02-11,44809
21,2020-02-12,45228
22,2020-02-13,60376
23,2020-02-14,66894
24,2020-02-15,69039
25,2020-02-16,71233
26,2020-02-17,73268
27,2020-02-18,75146
28,2020-02-19,75650
29,2020-02-20,76210
30,2020-02-21,76833
31,2020-02-22,78586
32,2020-02-23,78977
33,2020-02-24,79542
34,2020-02-25,80393
35,2020-02-26,81370
36,2020-02-27,82733
37,2020-02-28,84106
38,2020-02-29,86005
39,2020-03-01,88383
40,2020-03-02,90356
41,2020-03-03,92933
42,2020-03-04,95235
43,2020-03-05,98023
44,2020-03-06,101971
45,2020-03-07,106004
46,2020-03-08,109963
47,2020-03-09,113844
48,2020-03-10,118880
49,2020-03-11,126546
50,2020-03-12,132240
51,2020-03-13,146672
52,2020-03-14,157773
53,2020-03-15,168954
54,2020-03-16,183593
55,2020-03-17,199419
56,2020-03-18,218989
57,2020-03-19,246905
58,2020-03-20,276475
59,2020-03-21,308790
60,2020-03-22,342252
61,2020-03-23,384404
62,2020-03-24,425535
63,2020-03-25,476369
64,2020-03-26,539307
65,2020-03-27,603674
66,2020-03-28,671309
67,2020-03-29,730880
68,2020-03-30,795425
69,2020-03-31,871674
70,2020-04-01,947840
71,2020-04-02,1029275
72,2020-04-03,1112215
73,2020-04-04,1192742
74,2020-04-05,1264109
75,2020-04-06,1337062
76,2020-04-07,1413812
77,2020-04-08,1497403
78,2020-04-09,1583844
79,2020-04-10,1671729
80,2020-04-11,1748223
81,2020-04-12,1845226
82,2020-04-13,1915142
83,2020-04-14,1984840
84,2020-04-15,2065566
85,2020-04-16,2162241
86,2020-04-17,2250566
87,2020-04-18,2323831
88,2020-04-19,2404673
89,2020-04-20,2477668
90,2020-04-21,2552783
91,2020-04-22,2629660
92,2020-04-23,2719097
93,2020-04-24,2806113
94,2020-04-25,2890304
95,2020-04-26,2963242
96,2020-04-27,3032503
97,2020-04-28,3107085
98,2020-04-29,3183962
99,2020-04-30,3267740
100,2020-05-01,3354731
101,2020-05-02,3435281
102,2020-05-03,3513023
103,2020-05-04,3589133
104,2020-05-05,3669172
105,2020-05-06,3759093
106,2020-05-07,3848305
107,2020-05-08,3939833
108,2020-05-09,4023441
109,2020-05-10,4099732
110,2020-05-11,4176006
111,2020-05-12,4259403
112,2020-05-13,4344421
113,2020-05-14,4441499
114,2020-05-15,4537879
115,2020-05-16,4629672
116,2020-05-17,4708205
117,2020-05-18,4796476
118,2020-05-19,4892934
119,2020-05-20,4995742
120,2020-05-21,5102278
121,2020-05-22,5209244
122,2020-05-23,5308225
123,2020-05-24,5403524
124,2020-05-25,5490497
125,2020-05-26,5583031
126,2020-05-27,5685633
127,2020-05-28,5803599
128,2020-05-29,5924709
129,2020-05-30,6053134
130,2020-05-31,6160243
131,2020-06-01,6256493
132,2020-06-02,6369046
133,2020-06-03,6496381
134,2020-06-04,6623083
135,2020-06-05,6755724
136,2020-06-06,6881530
137,2020-06-07,6993970
138,2020-06-08,7097409
139,2020-06-09,7220392
140,2020-06-10,7354172
141,2020-06-11,7492360
142,2020-06-12,7621346
143,2020-06-13,7755445
144,2020-06-14,7888575
145,2020-06-15,8010360
146,2020-06-16,8149939
147,2020-06-17,8325831
148,2020-06-18,8464706
149,2020-06-19,8645640
150,2020-06-20,8803904
151,2020-06-21,8934807
152,2020-06-22,9072666
153,2020-06-23,9238013
154,2020-06-24,9405649
155,2020-06-25,9583608
156,2020-06-26,9774609
157,2020-06-27,9952423
158,2020-06-28,10117641
159,2020-06-29,10273510
160,2020-06-30,10447879
161,2020-07-01,10664168
162,2020-07-02,10871926
163,2020-07-03,11076086
164,2020-07-04,11269114
165,2020-07-05,11452196
166,2020-07-06,11620096
167,2020-07-07,11829602
168,2020-07-08,12041480
169,2020-07-09,12268518
170,2020-07-10,12323502
171,2020-07-11,12498467
