,Date,Recovery
0,2020-01-22,28
1,2020-01-23,30
2,2020-01-24,36
3,2020-01-25,39
4,2020-01-26,52
5,2020-01-27,61
6,2020-01-28,107
7,2020-01-29,126
8,2020-01-30,143
9,2020-01-31,222
10,2020-02-01,284
11,2020-02-02,472
12,2020-02-03,623
13,2020-02-04,852
14,2020-02-05,1124
15,2020-02-06,1487
16,2020-02-07,2011
17,2020-02-08,2616
18,2020-02-09,3244
19,2020-02-10,3946
20,2020-02-11,4683
21,2020-02-12,5150
22,2020-02-13,6295
23,2020-02-14,8058
24,2020-02-15,9395
25,2020-02-16,10865
26,2020-02-17,12583
27,2020-02-18,14352
28,2020-02-19,16121
29,2020-02-20,18177
30,2020-02-21,18890
31,2020-02-22,22886
32,2020-02-23,23394
33,2020-02-24,25227
34,2020-02-25,27905
35,2020-02-26,30384
36,2020-02-27,33277
37,2020-02-28,36711
38,2020-02-29,39782
39,2020-03-01,42716
40,2020-03-02,45602
41,2020-03-03,48228
42,2020-03-04,51170
43,2020-03-05,53796
44,2020-03-06,55865
45,2020-03-07,58359
46,2020-03-08,60694
47,2020-03-09,62493
48,2020-03-10,64404
49,2020-03-11,67002
50,2020-03-12,68323
51,2020-03-13,70250
52,2020-03-14,72621
53,2020-03-15,76031
54,2020-03-16,78085
55,2020-03-17,80837
56,2020-03-18,83320
57,2020-03-19,84957
58,2020-03-20,87402
59,2020-03-21,91666
60,2020-03-22,97881
61,2020-03-23,98346
62,2020-03-24,107985
63,2020-03-25,113768
64,2020-03-26,122133
65,2020-03-27,130902
66,2020-03-28,139396
67,2020-03-29,148863
68,2020-03-30,164300
69,2020-03-31,177786
70,2020-04-01,192876
71,2020-04-02,209917
72,2020-04-03,225364
73,2020-04-04,245777
74,2020-04-05,259616
75,2020-04-06,276249
76,2020-04-07,299637
77,2020-04-08,328353
78,2020-04-09,353689
79,2020-04-10,375508
80,2020-04-11,401755
81,2020-04-12,421158
82,2020-04-13,448324
83,2020-04-14,473417
84,2020-04-15,510084
85,2020-04-16,540912
86,2020-04-17,567032
87,2020-04-18,590955
88,2020-04-19,622609
89,2020-04-20,644611
90,2020-04-21,679438
91,2020-04-22,709867
92,2020-04-23,738658
93,2020-04-24,788691
94,2020-04-25,816470
95,2020-04-26,845073
96,2020-04-27,872876
97,2020-04-28,906142
98,2020-04-29,948310
99,2020-04-30,1013281
100,2020-05-01,1051512
101,2020-05-02,1092429
102,2020-05-03,1124752
103,2020-05-04,1158816
104,2020-05-05,1195421
105,2020-05-06,1241339
106,2020-05-07,1280836
107,2020-05-08,1317358
108,2020-05-09,1370907
109,2020-05-10,1404501
110,2020-05-11,1451495
111,2020-05-12,1488530
112,2020-05-13,1544372
113,2020-05-14,1584107
114,2020-05-15,1632096
115,2020-05-16,1688687
116,2020-05-17,1729573
117,2020-05-18,1782471
118,2020-05-19,1834636
119,2020-05-20,1893549
120,2020-05-21,1944814
121,2020-05-22,2053465
122,2020-05-23,2108436
123,2020-05-24,2163876
124,2020-05-25,2227599
125,2020-05-26,2282813
126,2020-05-27,2346206
127,2020-05-28,2413063
128,2020-05-29,2490390
129,2020-05-30,2560862
130,2020-05-31,2637170
131,2020-06-01,2692065
132,2020-06-02,2796188
133,2020-06-03,2875330
134,2020-06-04,2945359
135,2020-06-05,3014515
136,2020-06-06,3086717
137,2020-06-07,3141810
138,2020-06-08,3293408
139,2020-06-09,3375668
140,2020-06-10,3454807
141,2020-06-11,3540696
142,2020-06-12,3620412
143,2020-06-13,3706353
144,2020-06-14,3777131
145,2020-06-15,3857338
146,2020-06-16,3955169
147,2020-06-17,4073955
148,2020-06-18,4155099
149,2020-06-19,4250107
150,2020-06-20,4365932
151,2020-06-21,4434628
152,2020-06-22,4526333
153,2020-06-23,4630391
154,2020-06-24,4746118
155,2020-06-25,4838921
156,2020-06-26,4945557
157,2020-06-27,5051864
158,2020-06-28,5140899
159,2020-06-29,5235813
160,2020-06-30,5353205
161,2020-07-01,5469134
162,2020-07-02,5754006
163,2020-07-03,5863847
164,2020-07-04,6059565
165,2020-07-05,6179006
166,2020-07-06,6302626
167,2020-07-07,6447656
168,2020-07-08,6586726
169,2020-07-09,6740124
170,2020-07-10,6773292
171,2020-07-11,6879521
